chr	start	end	strand	pvalue	qvalue	meth.diff
CP045890.1	9032787	9032789	*	0.000185966074212759	0.00409377224789073	-20.9302325581395
CP045890.1	9046378	9046380	*	0.000336165595706227	0.00409377224789073	25.1842751842752
CP045890.1	15374697	15374699	*	0.00310288174739261	0.00409377224789073	-22.015503875969
CP045890.1	16095893	16095895	*	1.88411030527753e-05	0.00409377224789073	27.2727272727273
CP045890.1	32463931	32463933	*	0.0175696783740892	0.00409377224789073	-21.3438735177866
CP045891.1	16626123	16626125	*	0.013030380495044	0.00409377224789073	21.1482558139535
CP045891.1	16626862	16626864	*	0.000153011882193351	0.00409377224789073	-22.9046987774341
CP045891.1	18182095	18182097	*	0.000319174148884714	0.00409377224789073	-24.2424242424242
CP045891.1	29096970	29096972	*	5.76800713509007e-05	0.00409377224789073	22.8571428571429
CP045891.1	35084403	35084405	*	2.81606688467146e-07	0.00133416573234124	-20.8333333333333
CP045892.1	780365	780367	*	0.00028327021256272	0.00409377224789073	-23.6842105263158
CP045892.1	19923667	19923669	*	0.000107433687355713	0.00409377224789073	-20.6896551724138
CP045893.1	23843070	23843072	*	4.4756225860236e-07	0.00141360806394384	-27.6595744680851
CP045893.1	28072001	28072003	*	0.000715285071908033	0.00409377224789073	-20.4545454545455
CP045894.1	7640613	7640615	*	0.00626639993083814	0.00409377224789073	20.8791208791209
CP045894.1	12846474	12846476	*	2.67709398848494e-05	0.00409377224789073	-26.6666666666667
CP045894.1	17133039	17133041	*	0.000200871864367937	0.00409377224789073	23.5294117647059
CP045894.1	17133156	17133158	*	0.000433379102735019	0.00409377224789073	-23.6842105263158
CP045895.1	13307297	13307299	*	4.20433498612128e-05	0.00409377224789073	-21.9512195121951
CP045895.1	20889264	20889266	*	0.000212064369060358	0.00409377224789073	-21.0526315789474
CP045895.1	21444617	21444619	*	4.75939611723734e-06	0.00409377224789073	-21.9512195121951
CP045897.1	4185855	4185857	*	0.000164851083294204	0.00409377224789073	27.2727272727273
CP045897.1	5330081	5330083	*	2.40794343876441e-05	0.00409377224789073	20.9302325581395
CP045898.1	10793941	10793943	*	4.09281758711027e-05	0.00409377224789073	20.5128205128205
CP045898.1	13946789	13946791	*	0.000116837313824257	0.00409377224789073	-28.125
CP045898.1	15401798	15401800	*	0.00015666083622949	0.00409377224789073	-22.2222222222222
CP045899.1	51820	51822	*	0.0515442990573915	0.00409377224789073	21.6666666666667
CP045899.1	58083	58085	*	2.55231585467872e-05	0.00409377224789073	21.9512195121951
CP045899.1	61691	61693	*	1.56351711426895e-05	0.00409377224789073	21.7391304347826
CP045899.1	239210	239212	*	1.70131648589889e-05	0.00409377224789073	-25
CP045899.1	359322	359324	*	0.000468477983708839	0.00409377224789073	-25
CP045899.1	24204297	24204299	*	0.000455479918951455	0.00409377224789073	-21.6216216216216
CP045902.1	1706171	1706173	*	9.39771244044363e-06	0.00409377224789073	-27.2727272727273
CP045902.1	3922740	3922742	*	0.000178184914539243	0.00409377224789073	21.9512195121951
CP045902.1	17707752	17707754	*	0.000468477983708839	0.00409377224789073	-25
CP045902.1	19293529	19293531	*	0.000384981245751888	0.00409377224789073	22.8571428571429
CP045902.1	20807830	20807832	*	0.000903750986284732	0.00409377224789073	-27.9220779220779
CP045903.1	4715513	4715515	*	1.55437842557353e-05	0.00409377224789073	-20.6896551724138
CP045903.1	12519172	12519174	*	3.62393712454766e-06	0.00409377224789073	-33.3333333333333
CP045904.1	74820	74822	*	0.00011291606717819	0.00409377224789073	23.6842105263158
CP045904.1	14704417	14704419	*	9.88492449291045e-05	0.00409377224789073	28.9473684210526
CP045905.1	16654374	16654376	*	0.000149787539456821	0.00409377224789073	23.0769230769231
CP045906.1	13627207	13627209	*	4.46580327499953e-05	0.00409377224789073	20.4545454545455
CP045907.1	6704415	6704417	*	7.35027271625698e-07	0.00174116638258344	-39.4736842105263
CP045907.1	13960786	13960788	*	0.000795557628868466	0.00409377224789073	-20.2442333785617
CP045908.1	5099426	5099428	*	2.15182300365742e-05	0.00409377224789073	23.8095238095238
CP045908.1	8245620	8245622	*	6.37505011201808e-05	0.00409377224789073	-22.8571428571429
CP045909.1	4615358	4615360	*	2.92265014279e-05	0.00409377224789073	-26.1904761904762
CP045909.1	4634915	4634917	*	7.9917021691587e-05	0.00409377224789073	20.5882352941176
CP045910.1	3997813	3997815	*	2.3686531865757e-07	0.00133416573234124	-26.4150943396226
